channel_id,video_id,channel_name,duration(sec),domain,link
UCxbyDapSavjgvdtpcJ2BJKw,2Y3R3UPyci8,Rafsan The Chotobhai,244,Food & Casual Talk,https://www.youtube.com/watch?v=2Y3R3UPyci8
UCHZ71RQcMeboLpEz-HMHLDA,42l7oB0uhoA,Doctorola,496,Telemedicine,https://www.youtube.com/watch?v=42l7oB0uhoA
UCHZ71RQcMeboLpEz-HMHLDA,D-i9cg-8ZI4,Doctorola,2440,Telemedicine,https://www.youtube.com/watch?v=D-i9cg-8ZI4
UCA_B842dGRteTmlIzvo2KBg,1Br-ZYDUGPU,Health TV Bangladesh,63,Health Information,https://www.youtube.com/watch?v=1Br-ZYDUGPU
UCrqoTG2BCkNCZAes2fbYFlQ,9-o4x7V-WGU,Sylheti Media,143,Sylheti Talk,https://www.youtube.com/watch?v=9-o4x7V-WGU
UCrqoTG2BCkNCZAes2fbYFlQ,KougghVtg-8,Sylheti Media,223,Sylheti Talk,https://www.youtube.com/watch?v=KougghVtg-8
UCrqoTG2BCkNCZAes2fbYFlQ,IklIbyW735I,Sylheti Media,2468,Sylheti Talk,https://www.youtube.com/watch?v=IklIbyW735I
UCrqoTG2BCkNCZAes2fbYFlQ,2RWFONlE3Cc,Sylheti Media,97,Sylheti Talk,https://www.youtube.com/watch?v=2RWFONlE3Cc
UCrqoTG2BCkNCZAes2fbYFlQ,TPj-wmowSQE,Sylheti Media,2634,Sylheti Talk,https://www.youtube.com/watch?v=TPj-wmowSQE
UCQJwarr9ZR8lUJx_mL1a0JQ,AD311vO1Wxs,Sylheti Song,192,Sylheti Music,https://www.youtube.com/watch?v=AD311vO1Wxs
UCQJwarr9ZR8lUJx_mL1a0JQ,A5bMQaS_bzY,Sylheti Song,182,Sylheti Music,https://www.youtube.com/watch?v=A5bMQaS_bzY
UCQJwarr9ZR8lUJx_mL1a0JQ,HLxvAw8M0Ck,Sylheti Song,274,Sylheti Music,https://www.youtube.com/watch?v=HLxvAw8M0Ck
UCQJwarr9ZR8lUJx_mL1a0JQ,PNets2ifNR0,Sylheti Song,217,Sylheti Music,https://www.youtube.com/watch?v=PNets2ifNR0
UCQJwarr9ZR8lUJx_mL1a0JQ,yYf958ILq3Q,Sylheti Song,228,Sylheti Music,https://www.youtube.com/watch?v=yYf958ILq3Q
UC3M2_3oFwkTQvd9OAWm8SDQ,ZISVKqS3-LQ,Sylheti Funny Video,119,Sylheti Comedy,https://www.youtube.com/watch?v=ZISVKqS3-LQ
UCSHmjVxsfWBw0W-4sM1Etuw,TbxFDna734o,Chatgaiya TV,674,Chittagonian,https://www.youtube.com/watch?v=TbxFDna734o
UCSHmjVxsfWBw0W-4sM1Etuw,edQwNPSnLbs,Chatgaiya TV,170,Chittagonian,https://www.youtube.com/watch?v=edQwNPSnLbs
UCSHmjVxsfWBw0W-4sM1Etuw,JhfsLa-NsiQ,Chatgaiya TV,76,Chittagonian,https://www.youtube.com/watch?v=JhfsLa-NsiQ
UCSHmjVxsfWBw0W-4sM1Etuw,yiF5mWt0b_U,Chatgaiya TV,126,Chittagonian,https://www.youtube.com/watch?v=yiF5mWt0b_U
UCSHmjVxsfWBw0W-4sM1Etuw,nh6_lD6WmK4,Chatgaiya TV,135,Chittagonian,https://www.youtube.com/watch?v=nh6_lD6WmK4
UCSHmjVxsfWBw0W-4sM1Etuw,nh6_lD6WmK4,Chatgaiya Natok,135,Chittagonian Drama,https://www.youtube.com/watch?v=nh6_lD6WmK4
UCSHmjVxsfWBw0W-4sM1Etuw,TbxFDna734o,Chatgaiya Natok,674,Chittagonian Drama,https://www.youtube.com/watch?v=TbxFDna734o
UCSHmjVxsfWBw0W-4sM1Etuw,DxziniMH0hY,Chatgaiya Natok,260,Chittagonian Drama,https://www.youtube.com/watch?v=DxziniMH0hY
UCSHmjVxsfWBw0W-4sM1Etuw,QJTce3naqA0,Chatgaiya Natok,152,Chittagonian Drama,https://www.youtube.com/watch?v=QJTce3naqA0
UCSHmjVxsfWBw0W-4sM1Etuw,ye3yIVN_U7c,Chatgaiya Natok,919,Chittagonian Drama,https://www.youtube.com/watch?v=ye3yIVN_U7c
UCSHmjVxsfWBw0W-4sM1Etuw,TbxFDna734o,Chatgaiya Funny Video,674,Chittagonian Comedy,https://www.youtube.com/watch?v=TbxFDna734o
UCSHmjVxsfWBw0W-4sM1Etuw,edQwNPSnLbs,Chatgaiya Funny Video,170,Chittagonian Comedy,https://www.youtube.com/watch?v=edQwNPSnLbs
UCSHmjVxsfWBw0W-4sM1Etuw,APUXWi5OgVQ,Chatgaiya Funny Video,181,Chittagonian Comedy,https://www.youtube.com/watch?v=APUXWi5OgVQ
UCSHmjVxsfWBw0W-4sM1Etuw,QJTce3naqA0,Chatgaiya Funny Video,152,Chittagonian Comedy,https://www.youtube.com/watch?v=QJTce3naqA0
UCSHmjVxsfWBw0W-4sM1Etuw,JhfsLa-NsiQ,Chatgaiya Funny Video,76,Chittagonian Comedy,https://www.youtube.com/watch?v=JhfsLa-NsiQ
UCjnCQyA146cEi8GORbUPryQ,IWWb0uzRseQ,Golpo Adda,354,Story Podcast,https://www.youtube.com/watch?v=IWWb0uzRseQ
UCjnCQyA146cEi8GORbUPryQ,DS5vtX2KZ-o,Golpo Adda,396,Story Podcast,https://www.youtube.com/watch?v=DS5vtX2KZ-o
UCjnCQyA146cEi8GORbUPryQ,Jae0fOOq9KU,Golpo Adda,231,Story Podcast,https://www.youtube.com/watch?v=Jae0fOOq9KU
UCjnCQyA146cEi8GORbUPryQ,5hs2jbncpqA,Golpo Adda,251,Story Podcast,https://www.youtube.com/watch?v=5hs2jbncpqA
UCjnCQyA146cEi8GORbUPryQ,DSOkoTr1KXs,Golpo Adda,118,Story Podcast,https://www.youtube.com/watch?v=DSOkoTr1KXs
UC2q1EOP5KEkKBgFRdnAvpwQ,O1yZHEX3utQ,Moner Jotno Phone-e,1163,Mental Health Podcast,https://www.youtube.com/watch?v=O1yZHEX3utQ
UC2q1EOP5KEkKBgFRdnAvpwQ,qRunGy5rZAw,Moner Jotno Phone-e,1121,Mental Health Podcast,https://www.youtube.com/watch?v=qRunGy5rZAw
UC2q1EOP5KEkKBgFRdnAvpwQ,6lw9MWcnQB0,Moner Jotno Phone-e,304,Mental Health Podcast,https://www.youtube.com/watch?v=6lw9MWcnQB0
UC2q1EOP5KEkKBgFRdnAvpwQ,yKhwrbusi3g,Moner Jotno Phone-e,992,Mental Health Podcast,https://www.youtube.com/watch?v=yKhwrbusi3g
UC2q1EOP5KEkKBgFRdnAvpwQ,YL0d9MLsmL4,Moner Jotno Phone-e,641,Mental Health Podcast,https://www.youtube.com/watch?v=YL0d9MLsmL4
UCeNFssPnBfjYw7q6BAQdsuw,Lje53NjNLTU,Rafsan Sabab,527,Conversational Podcast,https://www.youtube.com/watch?v=Lje53NjNLTU
UCeNFssPnBfjYw7q6BAQdsuw,3Z0lmcgvf6M,Rafsan Sabab,787,Conversational Podcast,https://www.youtube.com/watch?v=3Z0lmcgvf6M
UCG87b1LSYAHTfWDAY4cPwCw,gwDjY7GJFo0,Rafsan Sabab Vlogs,2648,Conversational Podcast,https://www.youtube.com/watch?v=gwDjY7GJFo0
UCop-BlTtBWlaviGm_1lf5Lg,K_P34JMhLrs,Kazi Shuvo,180,Story & Talk Podcast,https://www.youtube.com/watch?v=K_P34JMhLrs
UCop-BlTtBWlaviGm_1lf5Lg,WVr1ZLs6B4E,Kazi Shuvo,120,Story & Talk Podcast,https://www.youtube.com/watch?v=WVr1ZLs6B4E
UCop-BlTtBWlaviGm_1lf5Lg,HaV3Dgbydp4,Kazi Shuvo,153,Story & Talk Podcast,https://www.youtube.com/watch?v=HaV3Dgbydp4
UCJSI-xe5BCQ8yQSkBjyPU5g,5U_-oBzBT38,Sabbir Ahmed Podcast,1845,Personal Podcast,https://www.youtube.com/watch?v=5U_-oBzBT38
UCJSI-xe5BCQ8yQSkBjyPU5g,EGEfO_vxfEk,Sabbir Ahmed Podcast,455,Personal Podcast,https://www.youtube.com/watch?v=EGEfO_vxfEk
UCJSI-xe5BCQ8yQSkBjyPU5g,nhY3XZwuMJ8,Sabbir Ahmed Podcast,246,Personal Podcast,https://www.youtube.com/watch?v=nhY3XZwuMJ8
UCJSI-xe5BCQ8yQSkBjyPU5g,BmGEH8f9Jbw,Sabbir Ahmed Podcast,133,Personal Podcast,https://www.youtube.com/watch?v=BmGEH8f9Jbw
UCJSI-xe5BCQ8yQSkBjyPU5g,QbPynLhysZk,Sabbir Ahmed Podcast,469,Personal Podcast,https://www.youtube.com/watch?v=QbPynLhysZk
UCykMzOpUnTBMsKP_BkjkHfQ,yuglKDI_w7E,Sadman Sadik,540,Personal Podcast,https://www.youtube.com/watch?v=yuglKDI_w7E
UCykMzOpUnTBMsKP_BkjkHfQ,NZaZckoYWqo,Sadman Sadik,3314,Personal Podcast,https://www.youtube.com/watch?v=NZaZckoYWqo
UCykMzOpUnTBMsKP_BkjkHfQ,ZVwmzUC9pcE,Sadman Sadik,665,Personal Podcast,https://www.youtube.com/watch?v=ZVwmzUC9pcE
UCykMzOpUnTBMsKP_BkjkHfQ,cyXMaSjNJiI,Sadman Sadik,2529,Personal Podcast,https://www.youtube.com/watch?v=cyXMaSjNJiI
UCykMzOpUnTBMsKP_BkjkHfQ,PZoT9-WsPfM,Sadman Sadik,574,Personal Podcast,https://www.youtube.com/watch?v=PZoT9-WsPfM
UC3CjpLYrGnKVvBUBXRe81dA,52R_nXYyyv0,Ayman Sadiq Podcast,585,Education & Life Talk,https://www.youtube.com/watch?v=52R_nXYyyv0
UC3CjpLYrGnKVvBUBXRe81dA,oiDYRWrQB9s,Ayman Sadiq Podcast,278,Education & Life Talk,https://www.youtube.com/watch?v=oiDYRWrQB9s
UC3CjpLYrGnKVvBUBXRe81dA,-E1U8ZvBBuw,Ayman Sadiq Podcast,189,Education & Life Talk,https://www.youtube.com/watch?v=-E1U8ZvBBuw
UC3CjpLYrGnKVvBUBXRe81dA,_fdKzs1s_xU,Ayman Sadiq Podcast,70,Education & Life Talk,https://www.youtube.com/watch?v=_fdKzs1s_xU
UC3CjpLYrGnKVvBUBXRe81dA,2ds2hf09RBM,Ayman Sadiq Podcast,98,Education & Life Talk,https://www.youtube.com/watch?v=2ds2hf09RBM
UCNyP5sDBpwL69Z7jzihWywQ,VysFW0vGtjc,Late Night Show with Arnob,630,Entertainment Talk Show,https://www.youtube.com/watch?v=VysFW0vGtjc
UCKt-_UfknINXMQ1ZDzVxU5w,a5uQMwRMHcs,Adda with Tahsan,340,Celebrity Talk Show,https://www.youtube.com/watch?v=a5uQMwRMHcs
UCKt-_UfknINXMQ1ZDzVxU5w,P-j3S-Qvfo4,Adda with Tahsan,1819,Celebrity Talk Show,https://www.youtube.com/watch?v=P-j3S-Qvfo4
